,household_code,fruit_paid,vege_paid,ln_fruit_paid,ln_vege_paid,super5_cat,con5_10,regional_10000,dest5_10,mix5_10,design5_10,auto_bg100,poverty_tr100,edu,income,race,hh_size,age,marital_status,children,employed_new,urban,msa,zip,zip_region
0,1,166.2599995,148.7900004,5.113553,5.0025358,1,0.2,1.5481609,27.9,2.9661946,0.70179641,4.2808805,6.0,1,2,1,3,2,0,1,0,1,44140,1002,northeast
1,2,14.03000015,39.89000013,2.6411979,3.6861258,1,0.2,1.5481609,27.9,2.9661946,0.70179641,4.2808805,6.0,1,1,3,0,2,3,1,0,1,44140,1002,northeast
2,3,245.4899995,425.1000004,5.5032563,6.0523243,1,0.2,1.5481609,27.9,2.9661946,0.70179641,4.2808805,6.0,1,2,2,1,3,0,1,0,1,44140,1002,northeast
3,4,9.719999999,142.57,2.2741857,4.9598331,1,0.1,0.8763501,4.4000001,3.9882979,0.35044795,1.0848484,6.8000002,0,1,0,1,3,0,1,0,3,49340,1005,northeast
4,5,330.5799994,480.9699989,5.8008485,6.1758051,0,0.1,1.9726992,1.3,5.6183767,0.20754077,3.781913,1.2,1,0,0,3,1,0,0,0,3,44140,1010,northeast
5,6,36.86000061,39.21999997,3.607127,3.6691868,0,0.1,1.9726992,1.3,5.6183767,0.20754077,3.781913,1.2,0,2,0,2,2,0,0,0,3,44140,1010,northeast
6,7,35.33999985,93.94999999,3.5650156,4.5427628,2,2.9000001,6.270227,55.400002,5.4287462,5.2191305,9.5377111,7.0999999,0,2,0,3,2,0,0,0,1,44140,1020,northeast
7,8,79.99999914,92.49000011,4.3820267,4.5271006,2,2.9000001,6.270227,55.400002,5.4287462,5.2191305,9.5377111,7.0999999,1,2,0,3,2,0,0,1,1,44140,1020,northeast
8,9,233.2600002,170.8899988,5.4521537,5.1410203,2,2.9000001,6.270227,55.400002,5.4287462,5.2191305,9.5377111,7.0999999,0,2,0,1,3,0,1,0,1,44140,1020,northeast
9,10,82.05999953,213.1800007,4.4074507,5.3621368,1,1.1,3.4298773,33.299999,4.5836778,3.129817,4.8244963,4.0,1,1,0,0,2,2,1,0,1,44140,1022,northeast
10,11,309.5299952,44.14000019,5.735055,3.7873664,1,1.1,3.4298773,33.299999,4.5836778,3.129817,4.8244963,4.0,1,2,0,1,3,0,1,0,1,44140,1022,northeast
11,12,17.7900002,132.4499999,2.8786366,4.8862052,0,0.0,1.5260819,0.89999998,0.0,0.42807958,1.9127687,2.7,0,1,0,1,2,3,1,0,1,44140,1027,northeast
12,13,93.12000048,177.2499993,4.5338888,5.1775613,0,0.0,1.5260819,0.89999998,0.0,0.42807958,1.9127687,2.7,1,2,0,1,1,0,1,0,1,44140,1027,northeast
13,14,428.8199988,342.7700001,6.0610371,5.8370595,2,1.0,5.0167322,21.9,3.5586843,1.8356701,4.8546352,4.8000002,1,2,0,1,3,0,1,0,1,44140,1030,northeast
14,15,63.00999975,31.63000016,4.1432934,3.4541061,2,1.0,5.0167322,21.9,3.5586843,1.8356701,4.8546352,4.8000002,1,2,0,0,2,3,1,0,1,44140,1030,northeast
